usn,sub_prod_name,x_pos,y_pos,wafer_id,prod_name
SY00-110,mdsim_PX1,0,1,W4PXA,mdsim_SY1
SY00-111,mdsim_PX1,0,-1,W3PXA,mdsim_SY1
SY00-112,mdsim_PX1,2,1,W1PXA,mdsim_SY1
SY00-113,mdsim_PX1,-2,0,W2PXA,mdsim_SY1
SY00-114,mdsim_PX1,2,-1,W2PXA,mdsim_SY1
SY00-115,mdsim_PX1,2,2,W1PXA,mdsim_SY1
SY00-116,mdsim_PX1,-1,2,W1PXA,mdsim_SY1
SY00-117,mdsim_PX1,-2,-2,W4PXA,mdsim_SY1
SY00-118,mdsim_PX1,1,-1,W3PXA,mdsim_SY1
SY00-119,mdsim_PX1,1,1,W4PXA,mdsim_SY1
SY00-120,mdsim_PX1,-1,-1,W4PXA,mdsim_SY1
SY00-121,mdsim_PX1,1,-2,W1PXA,mdsim_SY1
SY00-122,mdsim_PX1,0,1,W0PXA,mdsim_SY1
SY00-123,mdsim_PX1,2,1,W2PXA,mdsim_SY1
SY00-124,mdsim_PX1,0,2,W4PXA,mdsim_SY1
SY01-125,mdsim_PX1,-1,-1,W9PXA,mdsim_SY1
SY01-126,mdsim_PX1,1,-1,W9PXA,mdsim_SY1
SY01-127,mdsim_PX1,-1,1,W8PXA,mdsim_SY1
SY01-128,mdsim_PX1,2,1,W6PXA,mdsim_SY1
SY01-129,mdsim_PX1,-2,-1,W5PXA,mdsim_SY1
SY01-130,mdsim_PX1,-2,0,W7PXA,mdsim_SY1
SY01-131,mdsim_PX1,1,0,W9PXA,mdsim_SY1
SY01-132,mdsim_PX1,-2,0,W8PXA,mdsim_SY1
SY01-133,mdsim_PX1,-2,1,W5PXA,mdsim_SY1
SY01-134,mdsim_PX1,-1,2,W5PXA,mdsim_SY1
SY01-135,mdsim_PX1,-1,-2,W5PXA,mdsim_SY1
SY01-136,mdsim_PX1,1,-2,W7PXA,mdsim_SY1
SY01-137,mdsim_PX1,2,-1,W5PXA,mdsim_SY1
SY01-138,mdsim_PX1,-1,-1,W5PXA,mdsim_SY1
SY01-139,mdsim_PX1,2,-1,W8PXA,mdsim_SY1
SY01-140,mdsim_PX1,-2,-2,W9PXA,mdsim_SY1
SY01-141,mdsim_PX1,2,2,W8PXA,mdsim_SY1
SY01-142,mdsim_PX1,1,0,W6PXA,mdsim_SY1
SY01-143,mdsim_PX1,-1,0,W5PXA,mdsim_SY1
SY01-144,mdsim_PX1,-1,1,W5PXA,mdsim_SY1
SY01-145,mdsim_PX1,1,-2,W9PXA,mdsim_SY1
SY01-146,mdsim_PX1,2,-2,W9PXA,mdsim_SY1
SY01-147,mdsim_PX1,0,0,W9PXA,mdsim_SY1
SY01-148,mdsim_PX1,0,1,W8PXA,mdsim_SY1
SY01-149,mdsim_PX1,1,2,W9PXA,mdsim_SY1
SY01-150,mdsim_PX1,1,1,W9PXA,mdsim_SY1
SY01-151,mdsim_PX1,1,2,W8PXA,mdsim_SY1
SY01-152,mdsim_PX1,0,0,W6PXA,mdsim_SY1
SY01-153,mdsim_PX1,-2,2,W9PXA,mdsim_SY1
SY01-154,mdsim_PX1,2,0,W6PXA,mdsim_SY1
SY01-155,mdsim_PX1,0,1,W6PXA,mdsim_SY1
SY01-156,mdsim_PX1,0,-1,W9PXA,mdsim_SY1
SY01-157,mdsim_PX1,0,0,W7PXA,mdsim_SY1
SY01-158,mdsim_PX1,1,-1,W7PXA,mdsim_SY1
SY01-159,mdsim_PX1,0,-2,W7PXA,mdsim_SY1
SY01-160,mdsim_PX1,-2,-1,W7PXA,mdsim_SY1
SY01-161,mdsim_PX1,2,2,W5PXA,mdsim_SY1
SY01-162,mdsim_PX1,-2,0,W9PXA,mdsim_SY1
SY01-163,mdsim_PX1,2,-2,W6PXA,mdsim_SY1
SY01-164,mdsim_PX1,-1,0,W7PXA,mdsim_SY1
SY01-165,mdsim_PX1,0,-2,W9PXA,mdsim_SY1
SY01-166,mdsim_PX1,-1,-2,W8PXA,mdsim_SY1
SY01-167,mdsim_PX1,-1,0,W6PXA,mdsim_SY1
SY01-168,mdsim_PX1,1,1,W5PXA,mdsim_SY1
SY01-169,mdsim_PX1,-1,-1,W8PXA,mdsim_SY1
SY01-170,mdsim_PX1,1,1,W7PXA,mdsim_SY1
SY01-171,mdsim_PX1,2,0,W9PXA,mdsim_SY1
SY01-172,mdsim_PX1,2,0,W7PXA,mdsim_SY1
SY01-173,mdsim_PX1,1,-2,W5PXA,mdsim_SY1
SY01-174,mdsim_PX1,1,-1,W6PXA,mdsim_SY1
SY01-175,mdsim_PX1,0,2,W7PXA,mdsim_SY1
SY01-176,mdsim_PX1,0,2,W6PXA,mdsim_SY1
SY01-177,mdsim_PX1,1,1,W8PXA,mdsim_SY1
SY01-178,mdsim_PX1,0,2,W9PXA,mdsim_SY1
SY01-179,mdsim_PX1,1,-1,W8PXA,mdsim_SY1
SY01-180,mdsim_PX1,-1,-2,W7PXA,mdsim_SY1
SY01-181,mdsim_PX1,-2,-1,W9PXA,mdsim_SY1
SY01-182,mdsim_PX1,1,2,W7PXA,mdsim_SY1
SY01-183,mdsim_PX1,-2,-1,W6PXA,mdsim_SY1
SY01-184,mdsim_PX1,0,-1,W8PXA,mdsim_SY1
SY01-185,mdsim_PX1,0,1,W7PXA,mdsim_SY1
SY01-186,mdsim_PX1,-1,1,W9PXA,mdsim_SY1
SY01-187,mdsim_PX1,-1,2,W7PXA,mdsim_SY1
SY01-188,mdsim_PX1,1,2,W5PXA,mdsim_SY1
SY01-189,mdsim_PX1,-2,-2,W7PXA,mdsim_SY1
SY01-190,mdsim_PX1,-2,1,W7PXA,mdsim_SY1
SY01-191,mdsim_PX1,-1,2,W8PXA,mdsim_SY1
SY01-192,mdsim_PX1,0,-1,W5PXA,mdsim_SY1
SY01-193,mdsim_PX1,-1,2,W6PXA,mdsim_SY1
SY01-194,mdsim_PX1,-2,2,W5PXA,mdsim_SY1
SY01-195,mdsim_PX1,-2,-1,W8PXA,mdsim_SY1
SY01-196,mdsim_PX1,0,-1,W7PXA,mdsim_SY1
SY01-197,mdsim_PX1,-1,-1,W7PXA,mdsim_SY1
SY01-198,mdsim_PX1,0,0,W5PXA,mdsim_SY1
SY01-199,mdsim_PX1,0,2,W8PXA,mdsim_SY1
SY01-200,mdsim_PX1,1,-1,W5PXA,mdsim_SY1
SY01-201,mdsim_PX1,-2,2,W6PXA,mdsim_SY1
SY01-202,mdsim_PX1,-2,0,W5PXA,mdsim_SY1
SY01-203,mdsim_PX1,1,1,W6PXA,mdsim_SY1
SY01-204,mdsim_PX1,-2,0,W6PXA,mdsim_SY1
SY01-205,mdsim_PX1,2,1,W7PXA,mdsim_SY1
SY01-206,mdsim_PX1,1,2,W6PXA,mdsim_SY1
SY01-207,mdsim_PX1,-2,-2,W6PXA,mdsim_SY1
SY01-208,mdsim_PX1,-2,2,W8PXA,mdsim_SY1
SY01-209,mdsim_PX1,-2,2,W7PXA,mdsim_SY1
SY01-210,mdsim_PX1,2,1,W9PXA,mdsim_SY1
SY01-211,mdsim_PX1,-1,-2,W9PXA,mdsim_SY1
SY01-212,mdsim_PX1,1,-2,W6PXA,mdsim_SY1
SY01-213,mdsim_PX1,0,1,W5PXA,mdsim_SY1
SY01-214,mdsim_PX1,-2,-2,W5PXA,mdsim_SY1
SY01-215,mdsim_PX1,-1,-1,W6PXA,mdsim_SY1
SY01-216,mdsim_PX1,0,1,W9PXA,mdsim_SY1
SY01-217,mdsim_PX1,2,-2,W5PXA,mdsim_SY1
SY01-218,mdsim_PX1,-2,-2,W8PXA,mdsim_SY1
SY01-219,mdsim_PX1,0,-2,W6PXA,mdsim_SY1
SY01-220,mdsim_PX1,-1,0,W8PXA,mdsim_SY1
SY01-221,mdsim_PX1,1,-2,W8PXA,mdsim_SY1
SY01-222,mdsim_PX1,-1,-2,W6PXA,mdsim_SY1
SY01-223,mdsim_PX1,2,1,W5PXA,mdsim_SY1
SY01-224,mdsim_PX1,0,-1,W6PXA,mdsim_SY1
SY01-225,mdsim_PX1,-1,1,W6PXA,mdsim_SY1
SY01-226,mdsim_PX1,-2,1,W8PXA,mdsim_SY1
SY01-227,mdsim_PX1,2,0,W5PXA,mdsim_SY1
SY01-228,mdsim_PX1,1,0,W8PXA,mdsim_SY1
SY01-229,mdsim_PX1,-1,1,W7PXA,mdsim_SY1
SY01-230,mdsim_PX1,2,2,W9PXA,mdsim_SY1
SY01-231,mdsim_PX1,2,-2,W7PXA,mdsim_SY1
SY01-232,mdsim_PX1,2,-1,W6PXA,mdsim_SY1
SY01-233,mdsim_PX1,0,-2,W5PXA,mdsim_SY1
SY01-234,mdsim_PX1,2,0,W8PXA,mdsim_SY1
SY01-235,mdsim_PX1,0,2,W5PXA,mdsim_SY1
SY01-236,mdsim_PX1,-2,1,W9PXA,mdsim_SY1
SY01-237,mdsim_PX1,2,-1,W9PXA,mdsim_SY1
SY01-238,mdsim_PX1,2,2,W6PXA,mdsim_SY1
SY01-239,mdsim_PX1,2,-2,W8PXA,mdsim_SY1
SY01-240,mdsim_PX1,2,1,W8PXA,mdsim_SY1
SY01-241,mdsim_PX1,0,-2,W8PXA,mdsim_SY1
SY01-242,mdsim_PX1,2,2,W7PXA,mdsim_SY1
SY01-243,mdsim_PX1,-2,1,W6PXA,mdsim_SY1
SY01-244,mdsim_PX1,-1,2,W9PXA,mdsim_SY1
SY01-245,mdsim_PX1,-1,0,W9PXA,mdsim_SY1
SY01-246,mdsim_PX1,2,-1,W7PXA,mdsim_SY1
SY01-247,mdsim_PX1,0,0,W8PXA,mdsim_SY1
SY01-248,mdsim_PX1,1,0,W5PXA,mdsim_SY1
SY01-249,mdsim_PX1,1,0,W7PXA,mdsim_SY1
SY02-250,mdsim_PX1,0,2,W12PXA,mdsim_SY1
SY02-251,mdsim_PX1,-1,0,W11PXA,mdsim_SY1
SY02-252,mdsim_PX1,1,0,W10PXA,mdsim_SY1
SY02-253,mdsim_PX1,-2,-1,W11PXA,mdsim_SY1
SY02-254,mdsim_PX1,-1,0,W13PXA,mdsim_SY1
SY02-255,mdsim_PX1,1,0,W11PXA,mdsim_SY1
SY02-256,mdsim_PX1,-2,0,W13PXA,mdsim_SY1
SY02-257,mdsim_PX1,2,0,W14PXA,mdsim_SY1
SY02-258,mdsim_PX1,-1,-2,W11PXA,mdsim_SY1
SY02-259,mdsim_PX1,-2,2,W10PXA,mdsim_SY1
SY02-260,mdsim_PX1,1,-2,W11PXA,mdsim_SY1
SY02-261,mdsim_PX1,-1,-2,W10PXA,mdsim_SY1
SY02-262,mdsim_PX1,2,2,W10PXA,mdsim_SY1
SY02-263,mdsim_PX1,-2,0,W10PXA,mdsim_SY1
SY02-264,mdsim_PX1,1,2,W14PXA,mdsim_SY1
SY02-265,mdsim_PX1,0,0,W14PXA,mdsim_SY1
SY02-266,mdsim_PX1,0,2,W13PXA,mdsim_SY1
SY02-267,mdsim_PX1,0,-2,W14PXA,mdsim_SY1
SY02-268,mdsim_PX1,-1,-1,W11PXA,mdsim_SY1
SY02-269,mdsim_PX1,-1,1,W12PXA,mdsim_SY1
SY02-270,mdsim_PX1,0,0,W12PXA,mdsim_SY1
SY02-271,mdsim_PX1,2,-1,W10PXA,mdsim_SY1
SY02-272,mdsim_PX1,0,2,W11PXA,mdsim_SY1
SY02-273,mdsim_PX1,-2,1,W12PXA,mdsim_SY1
SY02-274,mdsim_PX1,1,0,W13PXA,mdsim_SY1
SY02-275,mdsim_PX1,0,0,W10PXA,mdsim_SY1
SY02-276,mdsim_PX1,-1,2,W10PXA,mdsim_SY1
SY02-277,mdsim_PX1,1,-1,W13PXA,mdsim_SY1
SY02-278,mdsim_PX1,-1,1,W11PXA,mdsim_SY1
SY02-279,mdsim_PX1,1,2,W12PXA,mdsim_SY1
SY02-280,mdsim_PX1,-2,-2,W13PXA,mdsim_SY1
SY02-281,mdsim_PX1,0,2,W10PXA,mdsim_SY1
SY02-282,mdsim_PX1,-2,-2,W11PXA,mdsim_SY1
SY02-283,mdsim_PX1,-1,-2,W13PXA,mdsim_SY1
SY02-284,mdsim_PX1,1,-1,W10PXA,mdsim_SY1
SY02-285,mdsim_PX1,2,2,W13PXA,mdsim_SY1
SY02-286,mdsim_PX1,-2,-1,W12PXA,mdsim_SY1
SY02-287,mdsim_PX1,-2,2,W11PXA,mdsim_SY1
SY02-288,mdsim_PX1,-1,1,W10PXA,mdsim_SY1
SY02-289,mdsim_PX1,0,-2,W11PXA,mdsim_SY1
SY02-290,mdsim_PX1,0,-1,W12PXA,mdsim_SY1
SY02-291,mdsim_PX1,-2,-2,W12PXA,mdsim_SY1
SY02-292,mdsim_PX1,0,-1,W11PXA,mdsim_SY1
SY02-293,mdsim_PX1,0,-1,W10PXA,mdsim_SY1
SY02-294,mdsim_PX1,0,0,W11PXA,mdsim_SY1
SY02-295,mdsim_PX1,1,-2,W12PXA,mdsim_SY1
SY02-296,mdsim_PX1,2,1,W10PXA,mdsim_SY1
SY02-297,mdsim_PX1,1,-2,W14PXA,mdsim_SY1
SY02-298,mdsim_PX1,-2,2,W13PXA,mdsim_SY1
SY02-299,mdsim_PX1,0,-1,W13PXA,mdsim_SY1
SY02-300,mdsim_PX1,-2,2,W14PXA,mdsim_SY1
SY02-301,mdsim_PX1,-2,-1,W14PXA,mdsim_SY1
SY02-302,mdsim_PX1,-1,2,W13PXA,mdsim_SY1
SY02-303,mdsim_PX1,1,1,W12PXA,mdsim_SY1
SY02-304,mdsim_PX1,2,-1,W14PXA,mdsim_SY1
SY02-305,mdsim_PX1,2,-2,W14PXA,mdsim_SY1
SY02-306,mdsim_PX1,-2,-2,W14PXA,mdsim_SY1
SY02-307,mdsim_PX1,0,-1,W14PXA,mdsim_SY1
SY02-308,mdsim_PX1,2,-1,W13PXA,mdsim_SY1
SY02-309,mdsim_PX1,2,2,W12PXA,mdsim_SY1
SY02-310,mdsim_PX1,-2,1,W11PXA,mdsim_SY1
SY02-311,mdsim_PX1,-1,-1,W14PXA,mdsim_SY1
SY02-312,mdsim_PX1,-2,0,W12PXA,mdsim_SY1
SY02-313,mdsim_PX1,1,-2,W13PXA,mdsim_SY1
SY02-314,mdsim_PX1,-1,-1,W13PXA,mdsim_SY1
SY02-315,mdsim_PX1,0,1,W14PXA,mdsim_SY1
SY02-316,mdsim_PX1,2,1,W13PXA,mdsim_SY1
SY02-317,mdsim_PX1,1,1,W11PXA,mdsim_SY1
SY02-318,mdsim_PX1,1,1,W14PXA,mdsim_SY1
SY02-319,mdsim_PX1,0,-2,W10PXA,mdsim_SY1
SY02-320,mdsim_PX1,1,2,W13PXA,mdsim_SY1
SY02-321,mdsim_PX1,2,-1,W11PXA,mdsim_SY1
SY02-322,mdsim_PX1,2,1,W14PXA,mdsim_SY1
SY02-323,mdsim_PX1,-1,0,W14PXA,mdsim_SY1
SY02-324,mdsim_PX1,1,1,W13PXA,mdsim_SY1
SY02-325,mdsim_PX1,2,2,W14PXA,mdsim_SY1
SY02-326,mdsim_PX1,2,-1,W12PXA,mdsim_SY1
SY02-327,mdsim_PX1,2,0,W12PXA,mdsim_SY1
SY02-328,mdsim_PX1,1,-1,W11PXA,mdsim_SY1
SY02-329,mdsim_PX1,1,1,W10PXA,mdsim_SY1
SY02-330,mdsim_PX1,-1,2,W14PXA,mdsim_SY1
SY02-331,mdsim_PX1,1,-1,W12PXA,mdsim_SY1
SY02-332,mdsim_PX1,0,1,W11PXA,mdsim_SY1
SY02-333,mdsim_PX1,0,2,W14PXA,mdsim_SY1
SY02-334,mdsim_PX1,2,-2,W12PXA,mdsim_SY1
SY02-335,mdsim_PX1,-1,-2,W14PXA,mdsim_SY1
SY02-336,mdsim_PX1,2,1,W12PXA,mdsim_SY1
SY02-337,mdsim_PX1,2,0,W11PXA,mdsim_SY1
SY02-338,mdsim_PX1,-2,-2,W10PXA,mdsim_SY1
SY02-339,mdsim_PX1,0,-2,W12PXA,mdsim_SY1
SY02-340,mdsim_PX1,-2,1,W14PXA,mdsim_SY1
SY02-341,mdsim_PX1,-1,1,W13PXA,mdsim_SY1
SY02-342,mdsim_PX1,-2,0,W14PXA,mdsim_SY1
SY02-343,mdsim_PX1,0,1,W12PXA,mdsim_SY1
SY02-344,mdsim_PX1,-2,1,W13PXA,mdsim_SY1
SY02-345,mdsim_PX1,-2,2,W12PXA,mdsim_SY1
SY02-346,mdsim_PX1,-1,0,W12PXA,mdsim_SY1
SY02-347,mdsim_PX1,-1,2,W11PXA,mdsim_SY1
SY02-348,mdsim_PX1,0,1,W13PXA,mdsim_SY1
SY02-349,mdsim_PX1,-2,-1,W13PXA,mdsim_SY1
SY02-350,mdsim_PX1,0,1,W10PXA,mdsim_SY1
SY02-351,mdsim_PX1,-2,0,W11PXA,mdsim_SY1
SY02-352,mdsim_PX1,2,1,W11PXA,mdsim_SY1
SY02-353,mdsim_PX1,2,0,W13PXA,mdsim_SY1
SY02-354,mdsim_PX1,1,-1,W14PXA,mdsim_SY1
SY02-355,mdsim_PX1,2,2,W11PXA,mdsim_SY1
SY02-356,mdsim_PX1,1,0,W12PXA,mdsim_SY1
SY02-357,mdsim_PX1,2,-2,W10PXA,mdsim_SY1
SY02-358,mdsim_PX1,1,-2,W10PXA,mdsim_SY1
SY02-359,mdsim_PX1,2,-2,W11PXA,mdsim_SY1
SY02-360,mdsim_PX1,-1,0,W10PXA,mdsim_SY1
SY02-361,mdsim_PX1,-2,-1,W10PXA,mdsim_SY1
SY02-362,mdsim_PX1,0,0,W13PXA,mdsim_SY1
SY02-363,mdsim_PX1,-1,-1,W10PXA,mdsim_SY1
SY02-364,mdsim_PX1,1,2,W10PXA,mdsim_SY1
SY02-365,mdsim_PX1,2,-2,W13PXA,mdsim_SY1
SY02-366,mdsim_PX1,-1,-1,W12PXA,mdsim_SY1
SY02-367,mdsim_PX1,-1,1,W14PXA,mdsim_SY1
SY02-368,mdsim_PX1,-1,-2,W12PXA,mdsim_SY1
SY02-369,mdsim_PX1,-2,1,W10PXA,mdsim_SY1
SY02-370,mdsim_PX1,1,2,W11PXA,mdsim_SY1
SY02-371,mdsim_PX1,0,-2,W13PXA,mdsim_SY1
SY02-372,mdsim_PX1,2,0,W10PXA,mdsim_SY1
SY02-373,mdsim_PX1,-1,2,W12PXA,mdsim_SY1
SY02-374,mdsim_PX1,1,0,W14PXA,mdsim_SY1
SY03-375,mdsim_PX1,2,1,W17PXA,mdsim_SY1
SY03-376,mdsim_PX1,2,0,W16PXA,mdsim_SY1
SY03-377,mdsim_PX1,-1,1,W18PXA,mdsim_SY1
SY03-378,mdsim_PX1,1,0,W18PXA,mdsim_SY1
SY03-379,mdsim_PX1,1,1,W19PXA,mdsim_SY1
SY03-380,mdsim_PX1,-2,0,W19PXA,mdsim_SY1
SY03-381,mdsim_PX1,-1,-1,W18PXA,mdsim_SY1
SY03-382,mdsim_PX1,0,2,W16PXA,mdsim_SY1
SY03-383,mdsim_PX1,-1,2,W15PXA,mdsim_SY1
SY03-384,mdsim_PX1,0,1,W19PXA,mdsim_SY1
SY03-385,mdsim_PX1,-2,-1,W17PXA,mdsim_SY1
SY03-386,mdsim_PX1,-2,1,W17PXA,mdsim_SY1
SY03-387,mdsim_PX1,0,0,W16PXA,mdsim_SY1
SY03-388,mdsim_PX1,1,-1,W17PXA,mdsim_SY1
SY03-389,mdsim_PX1,-1,-2,W17PXA,mdsim_SY1
SY03-390,mdsim_PX1,-2,2,W18PXA,mdsim_SY1
SY03-391,mdsim_PX1,-1,-1,W19PXA,mdsim_SY1
SY03-392,mdsim_PX1,2,1,W18PXA,mdsim_SY1
SY03-393,mdsim_PX1,-2,-1,W18PXA,mdsim_SY1
SY03-394,mdsim_PX1,1,1,W16PXA,mdsim_SY1
SY03-395,mdsim_PX1,1,-2,W18PXA,mdsim_SY1
SY03-396,mdsim_PX1,1,1,W17PXA,mdsim_SY1
SY03-397,mdsim_PX1,1,-1,W15PXA,mdsim_SY1
SY03-398,mdsim_PX1,1,2,W19PXA,mdsim_SY1
SY03-399,mdsim_PX1,1,-1,W19PXA,mdsim_SY1
